iter	Passed	Remaining
741	4250	1478
742	4254	1471
743	4258	1465
744	4263	1459
745	4267	1453
746	4271	1446
747	4276	1440
748	4280	1434
749	4285	1428
750	4289	1422
751	4295	1416
752	4299	1410
753	4303	1404
754	4307	1397
755	4313	1392
756	4317	1386
757	4321	1379
758	4326	1373
759	4330	1367
760	4334	1361
761	4338	1355
762	4343	1349
763	4348	1343
764	4352	1337
765	4355	1330
766	4358	1324
767	4362	1317
768	4364	1311
769	4368	1304
770	4371	1298
771	4375	1292
772	4378	1285
773	4383	1279
774	4387	1273
775	4391	1267
776	4395	1261
777	4398	1255
778	4404	1249
779	4413	1244
780	4418	1239
781	4427	1234
782	4449	1233
783	4456	1227
784	4466	1223
785	4477	1219
786	4483	1213
787	4496	1209
788	4503	1204
789	4513	1199
790	4519	1194
791	4526	1188
792	4530	1182
793	4537	1177
794	4543	1171
795	4547	1165
796	4557	1160
797	4561	1154
798	4569	1149
799	4575	1143
800	4580	1137
801	4588	1132
802	4593	1126
803	4600	1121
804	4608	1116
805	4616	1111
806	4622	1105
807	4626	1099
808	4635	1094
809	4640	1088
810	4646	1082
811	4653	1077
812	4657	1071
813	4665	1066
814	4671	1060
815	4676	1054
816	4684	1049
817	4688	1043
818	4696	1037
819	4702	1032
820	4706	1026
821	4714	1020
822	4719	1014
823	4725	1009
824	4732	1003
825	4736	997
826	4759	995
827	4764	989
828	4771	984
829	4777	978
830	4781	972
831	4789	967
832	4794	961
833	4800	955
834	4805	949
835	4810	943
836	4817	938
837	4822	932
838	4827	926
839	4833	920
840	4838	914
841	4843	908
842	4853	903
843	4861	898
844	4869	893
845	4874	887
846	4877	881
847	4881	874
848	4885	868
849	4889	862
850	4893	856
851	4897	850
852	4901	844
853	4905	838
854	4909	832
855	4913	826
856	4916	820
857	4920	814
858	4924	808
859	4929	802
860	4937	797
861	4941	791
862	4951	786
863	4959	780
864	4968	775
865	4976	770
866	4987	765
867	4995	759
868	5005	754
869	5018	749
870	5026	744
871	5038	739
872	5054	735
873	5063	729
874	5068	724
875	5074	718
876	5084	713
877	5090	707
878	5097	701
879	5101	695
880	5111	690
881	5116	684
882	5125	679
883	5131	673
884	5135	667
885	5145	662
886	5149	655
887	5160	650
888	5181	646
889	5193	641
890	5198	635
891	5207	630
892	5212	624
893	5220	619
894	5226	613
895	5231	607
896	5239	601
897	5244	595
898	5251	589
899	5257	584
900	5261	578
901	5270	572
902	5275	566
903	5280	560
904	5287	555
905	5291	549
906	5297	543
907	5300	537
908	5304	531
909	5308	525
910	5313	519
911	5317	513
912	5320	507
913	5324	501
914	5331	495
915	5336	489
916	5340	483
917	5346	477
918	5351	471
919	5356	465
920	5362	459
921	5366	454
922	5371	448
923	5377	442
924	5380	436
925	5384	430
926	5388	424
927	5393	418
928	5397	412
929	5401	406
930	5407	400
931	5411	394
932	5416	388
933	5420	383
934	5429	377
935	5435	371
936	5448	366
937	5457	360
938	5469	355
939	5480	349
940	5496	344
941	5509	339
942	5520	333
943	5529	328
944	5540	322
945	5546	316
946	5558	311
947	5565	305
948	5575	299
949	5578	293
950	5589	287
951	5593	282
952	5601	276
953	5609	270
954	5617	264
955	5623	258
956	5627	252
957	5635	247
958	5639	241
959	5646	235
960	5654	229
961	5659	223
962	5667	217
963	5671	211
964	5679	205
965	5685	200
966	5688	194
967	5697	188
968	5702	182
969	5708	176
970	5717	170
971	5723	164
972	5731	159
973	5735	153
974	5743	147
975	5748	141
976	5754	135
977	5762	129
978	5766	123
979	5774	117
980	5780	111
981	5787	106
982	5794	100
983	5798	94
984	5809	88
985	5814	82
986	5823	76
987	5828	70
988	5834	64
989	5840	58
990	5844	53
991	5849	47
992	5853	41
993	5856	35
994	5860	29
995	5864	23
996	5868	17
997	5872	11
998	5875	5
999	5879	0
