iter	Logloss
0	0.6870784414
1	0.6819411819
2	0.6767425161
3	0.6723594217
4	0.6668416525
5	0.6618349373
6	0.6582649428
7	0.6535221721
8	0.64855779
9	0.643824375
10	0.6400147895
11	0.6360474797
12	0.6320105303
13	0.628537467
14	0.6243816111
15	0.6197048
16	0.6161878843
17	0.6119107378
18	0.607981928
19	0.6039555453
20	0.599946315
21	0.5961816357
22	0.5923801913
23	0.588703803
24	0.5849131452
25	0.581557653
26	0.5782333327
27	0.575099525
28	0.5719236083
29	0.5687478885
30	0.5669879395
31	0.5636005795
32	0.5606762617
33	0.558235333
34	0.5555006018
35	0.5522242563
36	0.5499389821
37	0.5470159728
38	0.5447467859
39	0.5420052989
40	0.5405910786
41	0.5386812697
42	0.5358570863
43	0.533174135
44	0.5309899923
45	0.528633301
46	0.5259356517
47	0.5231519532
48	0.5207737943
49	0.5185734178
50	0.5163749923
51	0.5140069921
52	0.5117668037
53	0.5095655998
54	0.5076697692
55	0.5060071441
56	0.5040377037
57	0.5023645549
58	0.5003920636
59	0.4981096756
60	0.4959904476
61	0.4944168612
62	0.4924023012
63	0.4904496688
64	0.4887175783
65	0.4868355631
66	0.4852420003
67	0.4834298628
68	0.4820444806
69	0.4810555147
70	0.4797874978
71	0.4782788721
72	0.4768659059
73	0.4753296151
74	0.4739135292
75	0.472859757
76	0.471268478
77	0.4698466573
78	0.4683964355
79	0.4668927794
80	0.4651216711
81	0.4636527365
82	0.4624841081
83	0.4613667007
84	0.4601183695
85	0.4595133594
86	0.458270199
87	0.4572583525
88	0.4558321239
89	0.4544166263
90	0.4532191226
91	0.4523031662
92	0.4514228725
93	0.4501901037
94	0.4489705747
95	0.4484727137
96	0.4475341413
97	0.4465752782
98	0.445563771
99	0.4443248004
100	0.443446206
101	0.4423779675
102	0.4416035743
103	0.4403753953
104	0.4393724918
105	0.4385325764
106	0.4374683768
107	0.4368588463
108	0.4358413482
109	0.4349402151
110	0.4339500639
111	0.4330447162
112	0.4323009166
113	0.431527138
114	0.4306085867
115	0.4298896915
116	0.4289163982
117	0.4283615175
118	0.4274687417
119	0.4265506182
120	0.4258335881
121	0.4250882516
122	0.4241920107
123	0.4237428625
124	0.4230471037
125	0.4220024514
126	0.4214604601
127	0.4209563169
128	0.420252629
129	0.4197099285
130	0.4191251946
131	0.4182240799
132	0.4176038913
133	0.4167022064
134	0.4161254541
135	0.415328528
136	0.41458437
137	0.4141993872
138	0.4134308787
139	0.412721163
140	0.4121821648
141	0.4120674118
142	0.4115713462
143	0.4113956618
144	0.4106555514
145	0.410225372
146	0.4094114189
147	0.4088399189
148	0.4080506013
149	0.4078618529
150	0.4071682262
151	0.4064055718
152	0.4059005711
153	0.4051769543
154	0.4045255868
155	0.4040644337
156	0.4036879073
157	0.4031405332
158	0.4025154139
159	0.4017861745
160	0.4012061798
161	0.4007094796
162	0.4000516704
163	0.3993815061
164	0.3991203122
165	0.3986071721
166	0.3981222463
167	0.3977184836
168	0.3974993352
169	0.3972036455
170	0.3965519176
171	0.3961444346
172	0.3956094433
173	0.395301304
174	0.394796126
175	0.3943577276
176	0.3938677012
177	0.3935513107
178	0.3930531975
179	0.3925274621
180	0.3919910776
181	0.3915514579
182	0.3911447119
183	0.3907494221
184	0.3901530692
185	0.3897002174
186	0.3893697386
187	0.3890664444
188	0.3888166377
189	0.3885868597
190	0.3880674417
191	0.3877868901
192	0.3873495023
193	0.3868031194
194	0.3862950061
195	0.3858782302
196	0.385547106
197	0.3852528806
198	0.3848731472
199	0.384528112
200	0.3839932452
201	0.3835601384
202	0.3832553764
203	0.3829870564
204	0.3824986812
205	0.3820599605
206	0.3817028162
207	0.3815909642
208	0.3813885367
209	0.3808906642
210	0.380700378
211	0.380402856
212	0.3801919087
213	0.3798103805
214	0.3792676619
215	0.3789308434
